암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,주소,전화번호,병원URL,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,x좌표,y좌표,조사기간,병원홈페이지,조산사 인원수,좌표(X),좌표(Y),equitments,levels,grade
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,1,상급종합,110000,서울,110018,송파구,,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),02-3010-3114,http://www.amc.seoul.kr,1989-05-20 00:00:00,1672,15,129,443,1047,2,0,19,17,0,0,0,0,127.107935,37.5265762,202112,,,,,0.5599928898461828,0.0714285714285714,1.0
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,이화여자대학교의과대학부속목동병원,1,상급종합,110000,서울,110020,양천구,,서울특별시 양천구 안양천로 1071 (목동),02-2650-5114,http://www.eumc.ac.kr/mokdong/,1993-07-30 00:00:00,376,0,23,132,196,0,0,16,9,0,0,0,0,126.8862379,37.5362859,202112,,,,,0.1589492505883583,0.1428571428571428,1.0
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,1,상급종합,110000,서울,110001,강남구,,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114,http://www.samsunghospital.com,1994-06-13 00:00:00,1380,22,121,398,821,0,0,3,15,0,0,0,0,127.0851508,37.4882978,202112,,,,,0.5917044849637024,0.0714285714285714,1.0
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,1,상급종합,110000,서울,110008,동작구,,서울특별시 동작구 흑석로 102 (흑석동),1800-1114,http://ch.cauhs.or.kr/,2004-12-01 00:00:00,423,0,41,128,240,1,0,6,7,0,0,0,0,126.9607839,37.5067481,202112,,,,,0.2212331354341627,0.1428571428571428,1.0
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교 은평성모병원,11,종합병원,110000,서울,110015,은평구,,서울특별시 은평구 통일로 1021 (진관동),02-1811-7755,,1961-05-15 00:00:00,254,4,12,40,195,0,0,0,3,0,0,0,0,126.9161912,37.6334945,202112,,,,,0.1776604302286824,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,삼육서울병원,11,종합병원,110000,서울,110007,동대문구,,서울특별시 동대문구 망우로 82 (휘경동),02-2244-0191,http://www.symcs.co.kr,1966-01-07 00:00:00,118,1,9,19,88,1,0,0,0,0,0,0,0,127.0653066,37.5879909,202112,,,,,0.0972968790130343,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,경찰병원,11,종합병원,110000,서울,110018,송파구,,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),02-3400-1114,http://www.nph.go.kr,1971-02-20 00:00:00,121,1,16,33,68,1,0,0,2,0,0,0,0,127.123509,37.4963836,202112,,,,,0.129772322347259,0.2142857142857142,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,의료법인한전의료재단 한일병원,11,종합병원,110000,서울,110006,도봉구,,서울특별시 도봉구 우이천로 308 (쌍문동),02-901-3114,http://www.kepcomedi.co.kr,1974-03-28 00:00:00,124,0,9,28,84,1,0,0,2,0,0,0,0,127.0291228,37.6461401,202112,,,,,0.1082400542275999,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,대림성모병원,11,종합병원,110000,서울,110013,영등포구,,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",02-829-9000,http://www.drh.co.kr,1974-09-24 00:00:00,40,0,0,0,39,1,0,0,0,0,0,0,0,126.9072208,37.4906979,202112,,,,,0.048126315470813,0.5,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,인제대학교 서울백병원,11,종합병원,110000,서울,110017,중구,,서울특별시 중구 마른내로 9-9 (저동2가),02-2270-0114,http://www.paik.ac.kr/seoul/,1976-03-10 00:00:00,75,0,8,15,52,0,0,0,0,0,0,0,0,126.98867219,37.56482718,202112,,,,,0.0978402256107716,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,서울적십자병원,11,종합병원,110000,서울,110016,종로구,,서울특별시 종로구 새문안로 9 적십자병원 (평동),02-2002-8000,http://www.srch.or.kr,1977-04-01 00:00:00,54,0,8,7,35,2,0,0,2,0,0,0,0,126.9669974,37.5671805,202112,,,,,0.0982708567584024,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz,순천향대학교 부속 서울병원,11,종합병원,110000,서울,110014,용산구,,서울특별시 용산구 대사관로 59 (한남동),02-709-9114,http://www.schmc.ac.kr/seoul/kor/index.do,1978-02-23 00:00:00,360,0,38,119,196,1,0,0,6,0,0,0,0,127.0042579,37.533804,202112,,,,,0.2106929614229783,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,서울특별시 동부병원,11,종합병원,110000,서울,110007,동대문구,,서울특별시 동대문구 무학로 124 (용두동),02-920-9307,http://www.dbhosp.go.kr,1979-07-01 00:00:00,38,4,0,0,32,2,0,0,0,0,0,0,0,127.031341,37.5753681,202112,,,,,0.0724841991201405,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz,한림대학교 강남성심병원,11,종합병원,110000,서울,110013,영등포구,,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",02-829-5114,http://kangnam.hallym.or.kr,1980-01-11 00:00:00,258,0,24,81,147,0,0,0,6,0,0,0,0,126.9086527,37.4937262,202112,,,,,0.1499914080743661,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,의료법인 청구성심병원,11,종합병원,110000,서울,110015,은평구,,서울특별시 은평구 통일로 873 (갈현동),02-350-3300,http://www.cgss.co.kr/,1980-01-28 00:00:00,22,1,0,0,21,0,0,0,0,0,0,0,0,126.9197006,37.6208615,202112,,,,,0.0543000659627453,0.2857142857142857,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDIjJDgz,에이치플러스 양지병원,11,종합병원,110000,서울,110004,관악구,,서울특별시 관악구 남부순환로 1636 양지병원 (신림동),02-1877-8875,http://www.newyjh.com,1980-06-20 00:00:00,102,3,4,8,87,0,0,0,0,0,0,0,0,126.9325692,37.4841536,202112,,,,,0.1141189372437613,0.3571428571428571,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjEwMDIjNjEjJDEjJDgjJDgz,의료법인성화의료재단  대한병원,11,종합병원,110000,서울,110024,강북구,,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",02-903-3232,http://www.daehanh.com,1982-03-29 00:00:00,14,2,0,0,12,0,0,0,0,0,0,0,0,127.0226914,37.6354747,202112,,,,,0.0446827893000141,0.5,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz,한림대학교 한강성심병원,11,종합병원,110000,서울,110013,영등포구,,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",02-2639-5114,http://hangang.hallym.or.kr,1982-04-19 00:00:00,20,0,0,0,20,0,0,0,0,0,0,0,0,126.9096811,37.5231702,202112,,,,,0.052284590351013,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNzEjJDEjJDgjJDgz,성애의료재단 성애병원,11,종합병원,110000,서울,110013,영등포구,,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",02-840-7114,http://www.sungae.co.kr,1982-09-30 00:00:00,78,1,3,12,60,2,0,0,0,0,0,0,0,126.9225003,37.5120274,202112,,,,,0.1092480839437636,0.2142857142857142,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE4MzIjNDEjJDEjJDgjJDgz,의료법인풍산의료재단동부제일병원,11,종합병원,110000,서울,110019,중랑구,,"서울특별시 중랑구 망우로 511 (망우동, 동부제일병원)",02-437-5011,http://www.dbjeil.co.kr,1983-08-22 00:00:00,22,2,0,0,20,0,0,0,0,0,0,0,0,127.1090094,37.6007085,202112,,,,,0.0348441430977316,0.5,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,한국보훈복지의료공단 중앙보훈병원,11,종합병원,110000,서울,110002,강동구,,서울특별시 강동구 진황도로61길 53 (둔촌동),02-2225-1111,http://seoul.bohun.or.kr,1983-11-16 00:00:00,302,1,24,70,149,0,9,28,20,0,0,0,1,127.1481606,37.530634,202112,,,,,0.1395800973270717,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,씨엠병원,11,종합병원,110000,서울,110013,영등포구,영등포동4가,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원),  문래로 187, 2층, 3층 (영등포동4가)",02-2678-0001,http://www.cmhospital.co.kr,1984-03-02 00:00:00,27,1,0,0,26,0,0,0,0,0,0,0,0,126.9038757,37.5188095,202112,,,,,0.0497574594464546,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNTEjJDEjJDYjJDgz,명지성모병원,11,종합병원,110000,서울,110013,영등포구,,서울특별시 영등포구 도림로 156 명지성모병원 (대림동),02-1899-1475,http://www.myongji-sm.co.kr,1984-08-07 00:00:00,33,0,0,0,33,0,0,0,0,0,0,0,0,126.8992778,37.4938833,202112,,,,,0.0446491307735326,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,희명병원,11,종합병원,110000,서울,110025,금천구,,서울특별시 금천구 시흥대로 244 (시흥동),02-804-0002,http://www.hopehp.co.kr,1985-06-21 00:00:00,29,1,0,0,28,0,0,0,0,0,0,0,0,126.9005836,37.4556869,202112,,,,,0.0823286327613656,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,혜민병원,11,종합병원,110000,서울,110023,광진구,,서울특별시 광진구 자양로 85 (자양동),02-2049-9036,http://www.e-hyemin.co.kr,1985-11-13 00:00:00,33,0,0,0,33,0,0,0,0,0,0,0,0,127.0836246,37.5354079,202112,,,,,0.0744117501787076,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,한국원자력의학원원자력병원,11,종합병원,110000,서울,110022,노원구,,서울특별시 노원구 노원로 75-  한국원자력의학원 (공릉동),02-970-2114,http://www.kcch.re.kr,1985-11-29 00:00:00,184,5,37,28,112,1,0,0,1,0,0,0,0,127.0826965,37.6288213,202112,,,,,0.2742909287994426,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,가톨릭대학교 여의도성모병원,11,종합병원,110000,서울,110013,영등포구,,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),1661-7575,http://www.cmcsungmo.or.kr/,1986-08-20 00:00:00,245,0,21,81,140,0,0,0,3,0,0,0,0,126.9367517,37.5183253,202112,,,,,0.112306745424885,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,성심의료재단강동성심병원,11,종합병원,110000,서울,110002,강동구,,서울특별시 강동구 성안로 150 (길동),02-2224-2114,www.kdh.or.kr,1986-10-17 00:00:00,242,0,22,85,133,0,0,0,2,0,0,0,0,127.135378,37.5359971,202112,,,,,0.1402936871818802,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,세란병원,11,종합병원,110000,서울,110016,종로구,,서울특별시 종로구 통일로 256 (무악동),02-737-0181,http://www.seran.co.kr/,1987-04-24 00:00:00,42,2,0,0,40,0,0,0,0,0,0,0,0,126.9574607,37.5751835,202112,,,,,0.1118870164922796,0.1428571428571428,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjODEjJDEjJDIjJDgz,인제대학교 상계백병원,11,종합병원,110000,서울,110022,노원구,,서울특별시 노원구 동일로 1342 상계백병원 (상계동),02-950-1114,http://www.paik.ac.kr/sanggye,1989-08-14 00:00:00,292,0,25,107,151,0,0,6,3,0,0,0,0,127.0631233,37.6485282,202112,,,,,0.1433772791692155,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz,차의과학대학교 강남차병원,11,종합병원,110000,서울,110001,강남구,,"서울특별시 강남구 논현로 566 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",02-3468-3000,http://gangnam.chamc.co.kr,1990-10-22 00:00:00,107,0,0,8,97,0,0,0,2,0,0,0,0,127.035055,37.5067941,202112,,,,,0.1270121923531014,0.5,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,서울특별시보라매병원,11,종합병원,110000,서울,110008,동작구,,서울특별시 동작구 보라매로5길 20 (신대방동),02-870-2114,http://www.brmh.org,1991-11-16 00:00:00,265,3,0,11,241,0,1,3,6,0,0,0,0,126.9239058,37.4934414,202112,,,,,0.1802528133357714,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNzEjJDEjJDgjJDgz,서울성심병원,11,종합병원,110000,서울,110007,동대문구,,서울특별시 동대문구 왕산로 259 서울성심병원 (청량리동),02-966-1616,http://www.sshosp.co.kr,1991-12-30 00:00:00,44,0,0,12,31,1,0,0,0,0,0,0,0,127.0497296,37.5843076,202112,,,,,0.057576289457798,0.2857142857142857,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,홍익병원,11,종합병원,110000,서울,110020,양천구,신정동,서울특별시 양천구 목동로 225 홍익병원본관 (신정동),02-2693-5555,http://www.hih.or.kr/,1993-08-20 00:00:00,68,0,3,9,53,1,0,0,2,0,0,0,0,126.8636551,37.5284838,202112,,,,,0.1294171602625725,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,의료법인동신의료재단 동신병원,11,종합병원,110000,서울,110010,서대문구,,서울특별시 서대문구 연희로 272 동신병원 본관동 (홍은동),02-396-9161,http://www.dshospital.co.kr,1994-06-22 00:00:00,18,2,0,0,16,0,0,0,0,0,0,0,0,126.9364251,37.5813323,202112,,,,,0.0390168865752879,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,노원을지대학교병원,11,종합병원,110000,서울,110022,노원구,,서울특별시 노원구 한글비석로 68 을지병원 (하계동),02-970-8000,http://www.eulji.or.kr/default.asp,1995-01-14 00:00:00,229,1,20,74,131,1,0,0,2,0,0,0,0,127.0699355,37.6364794,202112,,,,,0.1576176622264435,0.2142857142857142,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,미즈메디병원,11,종합병원,110000,서울,110003,강서구,,서울특별시 강서구 강서로 295 (내발산동),02-2007-1000,https://www.mizmedi.com/,2000-01-24 00:00:00,50,0,0,0,50,0,0,0,0,0,0,0,0,126.8359357,37.5522178,202112,,,,,0.0888751400115036,0.5,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDQjJDgz,구로성심병원,11,종합병원,110000,서울,110005,구로구,,서울특별시 구로구 경인로 427 구로성심병원 (고척동),02-2067-1500,,2000-02-09 00:00:00,32,1,0,0,31,0,0,0,0,0,0,0,0,126.8664159,37.4996715,202112,,,,,0.0727281385000214,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNTEjJDEjJDYjJDgz,녹색병원,11,종합병원,110000,서울,110019,중랑구,,서울특별시 중랑구 사가정로49길 53 (면목동),02-490-2000,http://www.greenhospital.co.kr/main.php,2003-09-17 00:00:00,37,1,0,0,36,0,0,0,0,0,0,0,0,127.0860738,37.5835731,202112,,,,,0.0664583622119507,0.2142857142857142,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,강동경희대학교의대병원,11,종합병원,110000,서울,110002,강동구,,서울특별시 강동구 동남로 892 (상일동),02-440-7114,http://www.khnmc.or.kr,2006-02-27 00:00:00,292,0,20,84,187,0,0,0,1,0,0,0,0,127.1573794,37.5534484,202112,,,,,0.1393308020278186,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz,국립중앙의료원,11,종합병원,110000,서울,110017,중구,,서울특별시 중구 을지로 245 (을지로6가),02-2260-7114,http://www.nmc.or.kr,2010-04-02 00:00:00,227,1,28,65,123,0,0,0,4,0,0,2,4,127.005671,37.5672138,202112,,,,,0.1156334098478061,0.4285714285714285,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDgjJDgz,서울특별시서울의료원,11,종합병원,110000,서울,110019,중랑구,,서울특별시 중랑구 신내로 156 (신내동),02-2276-7000,http://www.seoulmc.or.kr,2011-03-09 00:00:00,229,0,27,62,136,1,0,0,2,1,0,0,0,127.0978309,37.6132762,202112,,,,,0.1735075532482653,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNzEjJDEjJDgjJDgz,서울특별시서남병원,11,종합병원,110000,서울,110020,양천구,,서울특별시 양천구 신정이펜1로 20 (신정동),1566-6688,,2011-03-28 00:00:00,32,0,0,0,31,0,0,0,1,0,0,0,0,126.8331531,37.5120195,202112,,,,,0.0612023103315672,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjE4MzIjNjEjJDEjJDAjJDgz,부민병원,11,종합병원,110000,서울,110003,강서구,,서울특별시 강서구 공항대로 389 부민병원 (등촌동),1577-7582,http://www.bumin.co.kr/seoul,2011-04-14 00:00:00,58,2,0,0,56,0,0,0,0,0,0,0,0,126.8509273,37.556866,202112,,,,,0.0885323309067328,0.0714285714285714,0.8
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,우리들병원,11,종합병원,110000,서울,110003,강서구,,서울특별시 강서구 하늘길 70 (과해동),02-2660-7500,http://seoul.wooridul.co.kr/,2012-04-30 00:00:00,22,0,0,0,22,0,0,0,0,0,0,0,0,126.7963265,37.5620454,202112,,,,,0.0294974164591389,0.0714285714285714,0.8
